,code,name,gt_12%_counts,2022_roe,2021_roe,2020_roe,2019_roe,2018_roe,2017_roe,2016_roe,2015_roe,2014_roe,2013_roe
176,sh.688396,华润微,3,14.04%,16.27%,12.04%,,,,,,,
177,sz.300919,中伟股份,3,11.71%,13.74%,14.12%,13.81%,,,,,,
178,sz.300979,华利集团,3,26.76%,33.21%,37.91%,,,,,,,
179,sh.688303,大全能源,3,61.67%,54.18%,26.11%,,,,,,,
180,sh.601998,中信银行,3,9.62%,9.50%,9.23%,10.07%,10.65%,10.93%,11.95%,14.26%,16.77%,18.48%
181,sh.601899,紫金矿业,3,25.06%,24.57%,12.08%,9.35%,10.85%,11.18%,6.65%,5.96%,8.42%,7.62%
182,sh.601238,广汽集团,3,7.93%,8.40%,7.26%,8.45%,14.94%,19.06%,15.26%,11.45%,9.29%,8.30%
183,sh.601800,中国交建,3,7.05%,7.12%,6.82%,9.41%,10.40%,12.07%,10.91%,11.88%,13.07%,13.25%
184,sh.603993,洛阳钼业,3,13.25%,12.97%,5.84%,4.54%,11.72%,9.59%,5.53%,4.76%,13.61%,9.90%
185,sh.600115,中国东航,3,-92.94%,-23.18%,-19.60%,5.21%,4.98%,12.67%,10.95%,14.45%,13.06%,9.90%
186,sh.603259,药明康德,3,20.72%,14.36%,11.89%,10.60%,18.81%,,,,,
187,sz.300454,深信服,3,2.58%,3.95%,14.94%,19.56%,23.30%,,,,,
188,sh.600884,杉杉股份,3,12.82%,21.32%,1.14%,2.40%,10.55%,9.65%,5.10%,14.70%,9.34%,5.69%
189,sh.688036,传音控股,3,16.65%,31.89%,28.66%,,,,,,,
190,sh.688363,华熙生物,3,15.75%,14.60%,13.50%,,,,,,,
191,sh.688111,金山办公,3,13.59%,14.29%,13.59%,,,,,,,
192,sh.600019,宝钢股份,3,6.32%,12.59%,7.00%,7.00%,12.64%,13.42%,7.66%,0.89%,5.15%,5.24%
193,sz.300957,贝泰妮,3,20.40%,28.99%,55.59%,,,,,,,
194,sh.605117,德业股份,3,45.28%,32.99%,54.01%,,,,,,,
195,sh.605499,东鹏饮料,3,30.97%,38.79%,45.77%,,,,,,,
196,sh.600011,华能国际,3,-6.91%,-9.05%,4.15%,1.86%,1.81%,2.28%,10.95%,18.55%,16.11%,17.93%
197,sz.002074,国轩高科,3,1.47%,0.69%,1.51%,0.59%,6.93%,13.78%,29.66%,33.30%,7.83%,6.41%
198,sh.601699,潞安环能,3,34.00%,21.73%,7.41%,9.74%,11.83%,14.11%,4.75%,0.57%,5.53%,9.24%
199,sz.002252,上海莱士,3,6.87%,5.07%,7.23%,5.44%,-13.01%,6.92%,14.42%,14.97%,10.54%,13.75%
200,sh.601186,中国铁建,3,9.53%,9.44%,9.65%,10.63%,11.23%,11.45%,11.53%,12.48%,13.20%,13.53%
201,sh.601377,兴业证券,3,5.64%,12.02%,11.09%,5.27%,0.41%,7.02%,8.15%,25.10%,12.87%,6.20%
202,sz.000800,一汽解放,3,1.47%,15.35%,16.39%,0.66%,2.54%,3.59%,-11.64%,0.61%,1.86%,12.42%
203,sh.601328,交通银行,3,9.27%,9.57%,9.43%,10.36%,10.75%,10.80%,11.55%,13.23%,14.79%,15.58%
204,sh.600919,江苏银行,3,12.67%,10.64%,9.69%,11.45%,11.18%,12.25%,14.36%,,,
205,sh.600111,北方稀土,3,34.02%,39.81%,8.30%,6.55%,6.46%,4.68%,1.09%,3.92%,7.98%,21.65%
206,sh.603501,韦尔股份,3,5.79%,32.63%,28.24%,9.74%,9.86%,13.79%,,,,
207,sz.002920,德赛西威,3,20.04%,16.69%,11.70%,7.14%,10.82%,24.65%,,,,
208,sz.300750,宁德时代,3,24.68%,21.42%,10.91%,12.83%,11.75%,,,,,
209,sh.601628,中国人寿,2,7.01%,10.97%,11.77%,16.14%,3.56%,10.33%,6.11%,11.44%,12.77%,11.22%
210,sh.601898,中煤能源,2,14.92%,12.38%,5.96%,5.94%,3.79%,2.76%,2.39%,-6.04%,1.75%,4.12%
211,sz.002129,TCL中环,2,19.68%,15.84%,6.54%,6.59%,5.03%,5.23%,3.88%,2.41%,2.63%,2.07%
212,sh.600029,南方航空,2,-60.15%,-17.67%,-16.28%,4.11%,5.21%,12.75%,12.31%,10.34%,5.09%,5.67%
213,sz.002594,比亚迪,2,16.13%,4.01%,7.45%,2.88%,5.05%,7.65%,12.09%,9.79%,1.84%,2.58%
214,sh.601669,中国电建,2,8.26%,7.10%,7.08%,7.48%,9.33%,10.49%,11.56%,10.96%,12.94%,14.06%
215,sz.002756,永兴材料,2,73.00%,19.57%,6.96%,10.11%,11.43%,10.92%,8.53%,9.67%,,
216,sh.601229,上海银行,2,10.45%,11.14%,11.38%,12.01%,11.70%,11.67%,13.75%,,,
217,sh.600460,士兰微,2,15.27%,30.79%,1.98%,0.43%,5.63%,6.63%,3.92%,1.66%,7.06%,5.83%
218,sz.000776,广发证券,2,6.99%,10.60%,10.60%,8.55%,5.06%,10.52%,10.29%,22.54%,13.53%,8.31%
219,sh.600089,特变电工,2,31.18%,17.74%,6.86%,5.97%,6.60%,8.35%,9.94%,9.33%,9.66%,9.40%
